"name","political","social","overall","age","gender"
"MEP",33.95,4.08,19.02,68,"Male"
"MEP",12.09,25.92,19,55,"Female"
"MEP",18.14,19.81,18.98,47,"Male"
"MEP",37.67,0,18.84,65,"Female"
"MEP",33.02,4.49,18.76,61,"Male"
"MEP",34.88,2.56,18.72,33,"Female"
"MEP",21.86,15.49,18.68,52,"Male"
"MEP",37.21,0,18.61,64,"Male"
"MEP",37.21,0,18.61,48,"Male"
"MEP",20,17.07,18.53,42,"Male"
"MEP",14.42,22.61,18.52,45,"Female"
"MEP",28.37,8.68,18.52,42,"Female"
"MEP",13.95,23.07,18.51,39,"Male"
"MEP",23.26,13.61,18.44,54,"Male"
"MEP",22.33,14.47,18.4,53,"Male"
"MEP",27.44,9.19,18.31,37,"Female"
"MEP",23.72,12.8,18.26,58,"Female"
"MEP",13.49,22.92,18.2,52,"Male"
"MEP",33.95,2.42,18.19,65,"Male"
"MEP",31.16,4.86,18.01,39,"Female"
"MEP",35.81,0.14,17.97,54,"Female"
"MEP",26.51,9.34,17.92,54,"Male"
"MEP",35.81,0,17.91,59,"Male"
"MEP",30,5.53,17.76,48,"Male"
"MEP",26.51,8.61,17.56,57,"Female"
"MEP",34.88,0,17.44,70,"Male"
"MEP",34.88,0,17.44,44,"Male"
"MEP",26.98,7.81,17.4,69,"Male"
"MEP",25.12,9.53,17.32,54,"Male"
"MEP",31.63,2.86,17.25,55,"Female"
"MEP",34.42,0,17.21,69,"Female"
"MEP",34.42,0,17.21,61,"Female"
"MEP",34.42,0,17.21,32,"Male"
"MEP",26.05,8.36,17.2,52,"Male"
"MEP",26.05,8.22,17.14,46,"Male"
"MEP",19.53,14.73,17.13,52,"Female"
"MEP",33.02,1.24,17.13,53,"Female"
"MEP",33.95,0.17,17.06,35,"Male"
"MEP",20.47,13.56,17.01,67,"Male"
"MEP",27.91,6.08,17,59,"Female"
"MEP",24.19,9.8,16.99,40,"Female"
"MEP",33.95,0,16.98,66,"Male"
"MEP",30.7,3.22,16.96,53,"Female"
"MEP",33.49,0,16.75,73,"Male"
"MEP",33.49,0,16.75,64,"Male"
"MEP",21.86,11.53,16.69,59,"Female"
"MEP",26.51,6.29,16.4,39,"Female"
"MEP",30.23,2.58,16.4,36,"Male"
"MEP",21.4,11.37,16.39,51,"Female"
"MEP",30.7,1.9,16.3,68,"Female"
"MEP",32.56,0,16.28,55,"Female"
"MEP",30.7,1.41,16.05,64,"Male"
"MEP",32.09,0,16.05,62,"Male"
"MEP",31.63,0,15.82,66,"Female"
"MEP",31.63,0,15.82,54,"Female"
"MEP",31.63,0,15.82,29,"Male"
"MEP",19.07,12.44,15.76,36,"Male"
"MEP",31.16,0,15.58,49,"Male"
"MEP",27.91,3.08,15.5,41,"Male"
"MEP",30.7,0,15.35,66,"Female"
"MEP",30.7,0,15.35,61,"Female"
"MEP",30.7,0,15.35,55,"Male"
"MEP",30.7,0,15.35,54,"Male"
"MEP",17.67,12.9,15.28,61,"Male"
"MEP",30.23,0,15.12,64,"Male"
"MEP",30.23,0,15.12,49,"Female"
"MEP",30.23,0,15.12,40,"Female"
"MEP",25.12,4.97,15.04,37,"Male"
"MEP",22.79,7.05,14.92,42,"Male"
"MEP",29.77,0,14.89,71,"Male"
"MEP",22.79,6.95,14.87,50,"Female"
"MEP",20.47,9.22,14.85,31,"Male"
"MEP",23.72,5.83,14.78,55,"Female"
"MEP",27.91,1.44,14.68,42,"Female"
"MEP",10.7,18.54,14.62,47,"Male"
"MEP",27.44,1.8,14.62,36,"Male"
"MEP",14.42,14.78,14.6,48,"Female"
"MEP",20.93,8.25,14.59,49,"Female"
"MEP",19.53,9.49,14.51,50,"Male"
"MEP",19.53,9.39,14.46,39,"Female"
"MEP",28.84,0,14.42,50,"Female"
"MEP",28.84,0,14.42,49,"Female"
"MEP",28.84,0,14.42,47,"Male"
"MEP",28.84,0,14.42,45,"Male"
"MEP",8.37,20.42,14.4,48,"Male"
"MEP",19.53,9.14,14.33,72,"Female"
"MEP",18.14,10.31,14.22,45,"Male"
"MEP",28.37,0,14.19,48,"Male"
"MEP",28.37,0,14.19,47,"Female"
"MEP",9.3,18.9,14.1,59,"Female"
"MEP",14.88,13.31,14.09,58,"Male"
"MEP",27.91,0.14,14.02,56,"Female"
"MEP",27.91,0,13.96,61,"Female"
